HHA Wage Indices by Fiscal Year,,,,,,,,,
County code,State,County name,CBSA 2013,HHA Wage 2007,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2013
5360,CA,MONO,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5370,CA,MONTEREY,41500, 1.4337 , 1.4775 , 1.4987 , 1.5207 , 1.5686 , 1.5877 
5380,CA,NAPA,34900, 1.3374 , 1.4476 , 1.4520 , 1.4453 , 1.4604 , 1.6064 
5390,CA,NEVADA,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5400,CA,ORANGE,42044, 1.1473 , 1.1766 , 1.1993 , 1.1972 , 1.2162 , 1.1995 
5410,CA,PLACER,40900, 1.3372 , 1.3505 , 1.3572 , 1.4073 , 1.4053 , 1.4350 
5420,CA,PLUMAS,NA, 1.1454 , 1.2023 , 1.2275 , 1.2051 , 1.2056 , 1.2585 
5430,CA,RIVERSIDE,40140, 1.0904 , 1.1100 , 1.1468 , 1.1285 , 1.1570 , 1.1372 
5440,CA,SACRAMENTO,40900, 1.3372 , 1.3505 , 1.3572 , 1.4073 , 1.4053 , 1.4350 
5450,CA,SAN BENITO,41940, 1.5543 , 1.5735 , 1.6141 , 1.6404 , 1.6703 , 1.7455 
5460,CA,SAN BERNARDINO,40140, 1.0904 , 1.1100 , 1.1468 , 1.1285 , 1.1570 , 1.1372 
5470,CA,SAN DIEGO,41740, 1.1354 , 1.1492 , 1.1538 , 1.1752 , 1.1979 , 1.1748 
5480,CA,SAN FRANCISCO,41884, 1.5165 , 1.5195 , 1.5529 , 1.5874 , 1.5733 , 1.6862 
5490,CA,SAN JOAQUIN,44700, 1.1442 , 1.1855 , 1.2015 , 1.2331 , 1.2644 , 1.3433 
5500,CA,SAN LUIS OBISPO,42020, 1.1598 , 1.2488 , 1.2441 , 1.2550 , 1.2915 , 1.3110 
5510,CA,SAN MATEO,41884, 1.5165 , 1.5195 , 1.5529 , 1.5874 , 1.5733 , 1.6862 
