DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
06030,COLORADO                 ,ARCHULETA,12,155,-841,-531,-408,,,,,
06040,COLORADO                 ,BACA,0,-291,-393,-396,0,,,,,
06050,COLORADO                 ,BENT,345,"-1,242","-1,151","-1,712",-816,,,,,
06060,COLORADO                 ,BOULDER,"-30,956","-29,046","-14,326","-24,427","-33,541",,,,,
06070,COLORADO                 ,CHAFFEE,178,-514,"-2,530","-2,208",-398,,,,,
06080,COLORADO                 ,CHEYENNE,0,-43,0,-25,0,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-1,728",-640,-347,0,-91,,,,,
06100,COLORADO                 ,CONEJOS,92,"-1,054",0,"-1,226",-616,,,,,
06110,COLORADO                 ,COSTILLA,-804,-269,-438,-394,42,,,,,
06120,COLORADO                 ,CROWLEY,145,-243,"-1,011",-606,-24,,,,,
06130,COLORADO                 ,CUSTER,0,-199,-23,-987,-581,,,,,
06140,COLORADO                 ,DELTA,212,"-2,533","-7,375","-7,831","-4,038",,,,,
06150,COLORADO                 ,DENVER,"-98,161","-73,475","-69,365","-45,282","-8,950",,,,,
06160,COLORADO                 ,DOLORES,72,0,0,-927,0,,,,,
06170,COLORADO                 ,DOUGLAS,"-6,771","-4,328","-4,134","-2,613",-809,,,,,
06180,COLORADO                 ,EAGLE,-917,-523,"-2,388",-622,"-2,782",,,,,
06190,COLORADO                 ,ELBERT,"-1,111","-1,295",-806,378,-129,,,,,
06200,COLORADO                 ,EL PASO,"-63,285","-28,741","-16,314","-39,240","6,644",,,,,
06210,COLORADO                 ,FREMONT,"-2,073","-5,148","-3,094","-6,677","-6,492",,,,,
06220,COLORADO                 ,GARFIELD,-443,"-1,124","-5,225","-4,993","-4,692",,,,,
06230,COLORADO                 ,GILPIN,-414,-373,0,-334,-687,,,,,
06240,COLORADO                 ,GRAND,0,-781,-523,-958,-62,,,,,
06250,COLORADO                 ,GUNNISON,-226,-270,0,0,0,,,,,
06260,COLORADO                 ,HINSDALE,0,0,0,0,0,,,,,
06270,COLORADO                 ,HUERFANO,0,-995,-494,-593,-676,,,,,
06280,COLORADO                 ,JACKSON,-3,0,0,0,0,,,,,
06290,COLORADO                 ,JEFFERSON,"-41,293","-32,441","-34,277","-23,380","-5,242",,,,,
06300,COLORADO                 ,KIOWA,0,0,0,-374,0,,,,,
06310,COLORADO                 ,KIT CARSON,0,0,-176,-647,-18,,,,,
06320,COLORADO                 ,LAKE,0,-48,-234,0,-41,,,,,
06330,COLORADO                 ,LA PLATA,-710,"-2,885","-3,451","-7,015","-5,095",,,,,
06340,COLORADO                 ,LARIMER,"-41,065","-51,916","-52,427","-33,659","-29,649",,,,,
06350,COLORADO                 ,LAS ANIMAS,-98,"-1,694","-2,227","-3,802",-151,,,,,
