AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
06190,COLORADO                 ,ELBERT,"-20,828","-26,801","-28,322","-34,758","-17,993",,,
06200,COLORADO                 ,EL PASO,"-3,833,803","-3,888,956","-4,114,646","-4,128,171","-1,910,798",,,
06210,COLORADO                 ,FREMONT,0,0,-417,0,0,,,
06220,COLORADO                 ,GARFIELD,-73,-792,"-1,394",-789,-11,,,
06230,COLORADO                 ,GILPIN,"-20,399","-21,904","-20,212","-24,936","-13,208",,,
06240,COLORADO                 ,GRAND,0,0,0,0,0,,,
06250,COLORADO                 ,GUNNISON,"-1,185",0,-135,-750,-320,,,
06260,COLORADO                 ,HINSDALE,0,0,0,0,0,,,
06270,COLORADO                 ,HUERFANO,0,0,-635,-736,-341,,,
06280,COLORADO                 ,JACKSON,0,0,0,0,0,,,
06290,COLORADO                 ,JEFFERSON,"-2,093,855","-2,209,387","-2,164,974","-2,173,428","-1,037,294",,,
06300,COLORADO                 ,KIOWA,0,0,0,0,0,,,
06310,COLORADO                 ,KIT CARSON,-607,-38,-227,-848,-412,,,
06320,COLORADO                 ,LAKE,-757,-121,0,-157,-342,,,
06330,COLORADO                 ,LA PLATA,0,0,0,0,0,,,
06340,COLORADO                 ,LARIMER,-265,-202,-72,0,0,,,
06350,COLORADO                 ,LAS ANIMAS,0,0,0,0,0,,,
06360,COLORADO                 ,LINCOLN,0,0,0,0,0,,,
06370,COLORADO                 ,LOGAN,0,-94,0,0,0,,,
06380,COLORADO                 ,MESA,-81,0,0,0,0,,,
06390,COLORADO                 ,MINERAL,0,0,0,0,0,,,
06400,COLORADO                 ,MOFFAT,0,0,0,0,0,,,
06410,COLORADO                 ,MONTEZUMA,-594,-808,-301,-307,-234,,,
06420,COLORADO                 ,MONTROSE,0,0,0,-66,-397,,,
06430,COLORADO                 ,MORGAN,0,0,0,0,0,,,
06440,COLORADO                 ,OTERO,0,0,0,0,0,,,
06450,COLORADO                 ,OURAY,0,0,0,0,-6,,,
06460,COLORADO                 ,PARK,0,0,-71,-345,-149,,,
06470,COLORADO                 ,PHILLIPS,0,0,0,0,0,,,
06480,COLORADO                 ,PITKIN,0,0,0,0,0,,,
06490,COLORADO                 ,PROWERS,0,0,0,0,0,,,
06500,COLORADO                 ,PUEBLO,-459,-517,"-2,019","-3,296",-712,,,
06510,COLORADO                 ,RIO BLANCO,0,0,0,0,0,,,
06520,COLORADO                 ,RIO GRANDE,0,0,0,0,0,,,
06530,COLORADO                 ,ROUTT,0,0,0,-75,-408,,,
06540,COLORADO                 ,SAGUACHE,0,0,0,0,0,,,
06550,COLORADO                 ,SAN JUAN,0,0,0,0,0,,,
06560,COLORADO                 ,SAN MIGUEL,0,0,0,0,0,,,
06570,COLORADO                 ,SEDGWICK,0,0,0,0,0,,,
06580,COLORADO                 ,SUMMIT,0,0,0,0,0,,,
06590,COLORADO                 ,TELLER,"-196,377","-198,148","-197,807","-198,994","-97,548",,,
06600,COLORADO                 ,WASHINGTON,0,0,0,0,0,,,
06610,COLORADO                 ,WELD,0,-44,0,0,-131,,,
06620,COLORADO                 ,YUMA,0,0,0,0,0,,,
06630,COLORADO                 ,BROOMFIELD,"-90,949","-101,569","-122,154","-147,486","-71,933",,,
07000,CONNECTICUT              ,FAIRFIELD,"-2,555,861","-2,679,076","-2,621,136","-2,760,879","-1,328,214",,,
07010,CONNECTICUT              ,HARTFORD,"-2,668,326","-2,739,155","-2,786,086","-3,026,335","-1,456,381",,,
07020,CONNECTICUT              ,LITCHFIELD,"-2,747","-2,714","-1,530","-1,610","-1,350",,,
07030,CONNECTICUT              ,MIDDLESEX,"-531,025","-530,944","-542,603","-587,536","-268,407",,,
07040,CONNECTICUT              ,NEW HAVEN,"-2,593,338","-2,487,677","-2,557,034","-2,802,270","-1,290,053",,,
07050,CONNECTICUT              ,NEW LONDON,"-7,193","-3,190","-4,498","-5,175","-1,831",,,
07060,CONNECTICUT              ,TOLLAND,"-398,470","-395,925","-398,769","-445,222","-216,910",,,
