DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
06230,COLORADO                 ,GILPIN,"-1,580",-988,-663,-845,-334
06240,COLORADO                 ,GRAND,"-1,158","-1,244","-1,901","-2,166",-923
06250,COLORADO                 ,GUNNISON,-221,-516,"-1,045",-667,-930
06260,COLORADO                 ,HINSDALE,-11,-173,-92,-145,-115
06270,COLORADO                 ,HUERFANO,-799,"-1,380","-1,599","-4,670","-4,244"
06280,COLORADO                 ,JACKSON,-645,-241,-258,-242,-744
06290,COLORADO                 ,JEFFERSON,"-62,751","-74,899","-79,689","-66,699","-17,990"
06300,COLORADO                 ,KIOWA,-12,-162,-219,-306,-114
06310,COLORADO                 ,KIT CARSON,"-1,508",-959,"-1,182","-1,319",-871
06320,COLORADO                 ,LAKE,-290,"-1,111",-746,-981,-832
06330,COLORADO                 ,LA PLATA,559,"-4,595","-8,351","-18,303","-18,499"
06340,COLORADO                 ,LARIMER,"-43,344","-56,845","-50,009","-85,078","-88,005"
06350,COLORADO                 ,LAS ANIMAS,-471,"-2,852","-3,940","-7,641","-5,619"
06360,COLORADO                 ,LINCOLN,-861,-332,"-1,199",-977,"-1,442"
06370,COLORADO                 ,LOGAN,"-1,663","-5,184","-8,193","-11,244","-9,604"
06380,COLORADO                 ,MESA,"-30,617","-39,557","-47,540","-36,661","-18,233"
06390,COLORADO                 ,MINERAL,-42,-44,-215,-935,-27
06400,COLORADO                 ,MOFFAT,"-1,981","-1,229","-1,847","-2,436","-4,400"
06410,COLORADO                 ,MONTEZUMA,981,"-2,294","-1,778","-5,889","-10,319"
06420,COLORADO                 ,MONTROSE,"-1,837","-9,159","-12,578","-20,382","-18,659"
06430,COLORADO                 ,MORGAN,"-1,818","-4,679","-6,295","-9,167","-9,708"
06440,COLORADO                 ,OTERO,404,"-5,751","-9,322","-17,315","-15,404"
06450,COLORADO                 ,OURAY,-25,-487,-560,-730,-855
06460,COLORADO                 ,PARK,"-1,339","-1,408","-2,155","-1,887","-1,094"
06470,COLORADO                 ,PHILLIPS,-682,-874,"-1,069",-989,-568
06480,COLORADO                 ,PITKIN,-418,-307,-503,-581,-413
06490,COLORADO                 ,PROWERS,"-2,141","-1,359","-3,586","-5,589","-5,284"
06500,COLORADO                 ,PUEBLO,"-21,296","-59,899","-82,788","-140,212","-150,408"
06510,COLORADO                 ,RIO BLANCO,-631,-719,-647,"-1,384",-803
