"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
28770,NEBRASKA                 ,SAUNDERS,"-63,228","-97,566","-117,116","-114,292","-65,614",-448,,,,,,
28780,NEBRASKA                 ,SCOTTS BLUFF,"-29,427","-3,230","-31,748","-33,889","-32,461",-636,,,,,,
28790,NEBRASKA                 ,SEWARD,"-83,359","-93,864","-106,959","-112,208","-74,297","-4,310",,,,,,
28800,NEBRASKA                 ,SHERIDAN,-434,"-8,518",-498,"-2,690","-4,722","-3,247",,,,,,
28810,NEBRASKA                 ,SHERMAN,"-29,224","-21,163","-5,082","-3,747","-4,741","-4,107",,,,,,
28820,NEBRASKA                 ,SIOUX,0,-644,"3,803",-976,0,"-20,598",,,,,,
28830,NEBRASKA                 ,STANTON,"-7,565","-8,415","-7,052","-9,924","-7,465","-2,781",,,,,,
28840,NEBRASKA                 ,THAYER,"-50,601","-33,464","-41,261","-43,120","-41,112",-631,,,,,,
28850,NEBRASKA                 ,THOMAS,-721,"-3,657","-3,601","-4,453",-225,"-1,297",,,,,,
28860,NEBRASKA                 ,THURSTON,"-19,197","-23,651","-6,128","2,759",25,737,,,,,,
28870,NEBRASKA                 ,VALLEY,"-36,957","-28,848","-11,213","-26,778","-11,968","-2,621",,,,,,
28880,NEBRASKA                 ,WASHINGTON,"-81,506","-102,881","-77,306","-110,689","-106,579","-9,544",,,,,,
28890,NEBRASKA                 ,WAYNE,"-19,604","-9,689","-10,480","-12,011","-17,375","-2,544",,,,,,
28900,NEBRASKA                 ,WEBSTER,"-17,212","-3,896","-1,507",-403,"6,941","-2,398",,,,,,
28910,NEBRASKA                 ,WHEELER,"-3,824","-3,744","-4,516","-1,493","-4,094","-16,190",,,,,,
28920,NEBRASKA                 ,YORK,"-87,631","-80,314","-97,086","-78,906","-45,944","-1,187",,,,,,
29000,NEVADA                   ,CHURCHILL,"-88,145","-139,868","-130,084","-105,885","-84,109","-2,712",,,,,,
29010,NEVADA                   ,CLARK,"-1,328,629","-3,683,745","-3,044,865","-1,771,314","-2,031,258",-597,,,,,,
29020,NEVADA                   ,DOUGLAS,"-124,587","-159,398","-127,631","-123,364","-124,845","-13,051",,,,,,
29030,NEVADA                   ,ELKO,"-80,516","-20,849","-61,963","-67,833","-84,584","-17,296",,,,,,
29040,NEVADA                   ,ESMERALDA,"-1,454","-12,986","-52,189","-10,580","-7,049","-449,437",,,,,,
29050,NEVADA                   ,EUREKA,-358,"-1,873","-5,665","-5,072","-1,659",-459,,,,,,
29060,NEVADA                   ,HUMBOLDT,"-26,065","-41,997","-82,305","-71,291","-33,795","-3,599",,,,,,
29070,NEVADA                   ,LANDER,"-9,220","-7,990","-15,139","-9,640","-15,590",-587,,,,,,
29080,NEVADA                   ,LINCOLN,"-7,348","-31,862","-73,103","-112,209","-132,726","-1,606",,,,,,
29090,NEVADA                   ,LYON,"-103,250","-211,989","-214,432","-141,361","-140,596","-2,025",,,,,,
29100,NEVADA                   ,MINERAL,"-18,408","-33,445","-24,228","-36,112","-19,337","-13,646",,,,,,
29110,NEVADA                   ,NYE,"-163,336","-308,115","-350,056","-269,698","-143,359","-1,691",,,,,,
29120,NEVADA                   ,CARSON CITY,"-83,442","-166,111","-184,272","-92,828","-115,472",-788,,,,,,
29130,NEVADA                   ,PERSHING,"-28,940","-21,057","-26,192","-10,008","-4,447",-190,,,,,,
29140,NEVADA                   ,STOREY,411,"-9,281","1,341","-11,341","-1,523","-1,775",,,,,,
29150,NEVADA                   ,WASHOE,"-485,245","-951,861","-1,035,780","-1,174,659","-838,860","-36,652",,,,,,
29160,NEVADA                   ,WHITE PINE,"-24,269","-4,994","6,787","4,699","-14,098","-4,034",,,,,,
30000,NEW HAMPSHIRE            ,BELKNAP,"-238,019","-83,949","-89,759","-121,528","-101,125",-45,,,,,,
30010,NEW HAMPSHIRE            ,CARROLL,"-100,459","-132,875","-259,694","-160,253","-191,888","-3,044",,,,,,
30020,NEW HAMPSHIRE            ,CHESHIRE,"-213,415","-255,038","-260,633","-343,809","-458,586","-3,563",,,,,,
30030,NEW HAMPSHIRE            ,COOS,"-100,859","-80,817","-99,307","-101,241","-126,742",-636,,,,,,
30040,NEW HAMPSHIRE            ,GRAFTON,"-232,291","-192,829","-267,079","-362,053","-360,106","-4,220",,,,,,
30050,NEW HAMPSHIRE            ,HILLSBOROUGH,"65,659","260,533","-193,718","-516,011","-587,918","-4,986",,,,,,
30060,NEW HAMPSHIRE            ,MERRIMACK,"-96,621","-99,323","-152,196","-237,747","-175,106","-2,321",,,,,,
30070,NEW HAMPSHIRE            ,ROCKINGHAM,"-442,858","-567,973","-786,990","-1,157,425","-1,156,229","-2,065",,,,,,
30080,NEW HAMPSHIRE            ,STRAFFORD,"80,463","-98,344","-242,631","-260,534","-148,932","-4,916",,,,,,
30090,NEW HAMPSHIRE            ,SULLIVAN,"-155,053","-119,998","-153,225","-237,651","-189,752","-3,018",,,,,,
31000,NEW JERSEY               ,ATLANTIC,"-3,018,037","-1,432,375","-391,546","-1,471,053","-1,582,535","-3,097",,,,,,
31100,NEW JERSEY               ,BERGEN,"-2,673,482","-1,939,015","-2,282,017","-1,331,828","-827,653","-156,560",,,,,,
31150,NEW JERSEY               ,BURLINGTON,"-606,358","-548,951","-283,233","-556,426","-774,993","-8,983",,,,,,
31160,NEW JERSEY               ,CAMDEN,"-2,395,382","-2,421,096","-1,759,182","-2,604,199","-2,792,758",0,,,,,,
31180,NEW JERSEY               ,CAPE MAY,"-1,176,656","-642,711","-597,771","-822,707","-577,472",-198,,,,,,
31190,NEW JERSEY               ,CUMBERLAND,"-2,114,400","-2,624,527","-2,082,162","-2,497,397","-1,486,720","-7,521",,,,,,
31200,NEW JERSEY               ,ESSEX,"-7,075,383","-4,166,722","-2,408,777","-771,179","-294,772","-4,920",,,,,,
31220,NEW JERSEY               ,GLOUCESTER,"-1,178,934","-1,163,772","-950,167","-1,449,490","-1,491,633","-1,269",,,,,,
31230,NEW JERSEY               ,HUDSON,"-10,474,592","-8,135,898","-7,244,655","-6,564,846","-4,102,686","-1,374",,,,,,
31250,NEW JERSEY               ,HUNTERDON,"-150,585","-90,209","-121,084","-186,369","-134,301","-4,253",,,,,,
31260,NEW JERSEY               ,MERCER,"-2,140,236","-2,012,706","-1,192,139","-2,054,489","-1,712,094","-2,278",,,,,,
31270,NEW JERSEY               ,MIDDLESEX,"-2,356,828","-3,338,145","-1,083,843","-1,033,759","-1,339,822","-9,410",,,,,,
31290,NEW JERSEY               ,MONMOUTH,"-1,875,946","-1,414,157","-203,553","-1,015,234","-1,218,624","-1,167",,,,,,
31300,NEW JERSEY               ,MORRIS,"4,221","222,490","260,282","170,485","-139,350",-498,,,,,,
31310,NEW JERSEY               ,OCEAN,"-3,175,025","-2,467,588","-1,573,600","-1,380,518","-1,305,232","-3,937",,,,,,
31320,NEW JERSEY               ,PASSAIC,"-5,846,746","-5,285,448","-3,872,296","-4,529,344","-2,932,001","-3,652",,,,,,
31340,NEW JERSEY               ,SALEM,"-874,479","-858,859","-726,241","-713,852","-530,445","-15,214",,,,,,
31350,NEW JERSEY               ,SOMERSET,"-133,344","-376,408","-155,561","-120,400","-123,674","-2,514",,,,,,
31360,NEW JERSEY               ,SUSSEX,"-31,523","-175,722","-156,782","-119,893","-202,696","-3,455",,,,,,
31370,NEW JERSEY               ,UNION,"-3,772,043","-2,460,321","-2,502,787","-1,073,768","-757,915","-7,963",,,,,,
31390,NEW JERSEY               ,WARREN,"-24,576","-31,067","-145,271","-88,279","-60,699",-573,,,,,,
32000,NEW MEXICO               ,BERNALILLO,"1,231,201","1,408,466","1,883,701","1,747,735","1,175,177","-10,172",,,,,,
32010,NEW MEXICO               ,CATRON,"-15,056","-18,077","-34,869","-32,678","-4,630","-74,758",,,,,,
32020,NEW MEXICO               ,CHAVES,"-453,101","-589,723","-725,034","-688,520","-493,371","-14,146",,,,,,
32025,NEW MEXICO               ,CIBOLA,"-31,738","-34,274","21,379","-24,845","-27,943","-5,844",,,,,,
32030,NEW MEXICO               ,COLFAX,"-48,372","-31,303","-40,097","-45,317","-58,058","-7,596",,,,,,
32040,NEW MEXICO               ,CURRY,"8,030","92,297","26,608","27,732","96,013","-1,658",,,,,,
32050,NEW MEXICO               ,DEBACA,"-4,113","-1,081","-9,530","-1,201","8,304","-3,690",,,,,,
32060,NEW MEXICO               ,DONA ANA,"-1,189,273","-1,621,074","-1,710,898","-1,632,964","-914,763","-1,073",,,,,,
32070,NEW MEXICO               ,EDDY,"-252,611","-336,203","-333,663","-328,384","-207,829","-2,293",,,,,,
32080,NEW MEXICO               ,GRANT,"-193,320","-151,754","-233,080","-208,953","-171,229",-95,,,,,,
32090,NEW MEXICO               ,GUADALUPE,"-7,196","-15,028","-4,253","-1,423","-3,570","-3,533",,,,,,
32100,NEW MEXICO               ,HARDING,"-14,024","3,325","-8,766","-2,640","-7,053","-1,417",,,,,,
32110,NEW MEXICO               ,HIDALGO,"-39,237","-64,045","-25,646","-28,530","-6,636","-13,528",,,,,,
32120,NEW MEXICO               ,LEA,"-295,581","-414,938","-458,291","-403,818","-293,160","-1,544",,,,,,
32130,NEW MEXICO               ,LINCOLN,"-110,210","-127,754","-103,083","-147,347","-93,758","-1,769",,,,,,
32131,NEW MEXICO               ,LOS ALAMOS,"-46,080","-29,584","-19,012","-45,110","-44,053",-546,,,,,,
32140,NEW MEXICO               ,LUNA,"-164,748","-227,912","-254,200","-219,237","-173,851","-5,926",,,,,,
32150,NEW MEXICO               ,MCKINLEY,"379,112","353,999","322,847","381,998","363,946",-577,,,,,,
32160,NEW MEXICO               ,MORA,"-8,273","8,431",371,"-3,180","-7,067","-40,918",,,,,,
32170,NEW MEXICO               ,OTERO,"-263,042","-368,602","-326,013","-355,648","-203,900","-1,111,787",,,,,,
32180,NEW MEXICO               ,QUAY,"-124,180","-65,617","-58,966","-74,044","-15,206","-23,379",,,,,,
32190,NEW MEXICO               ,RIO ARRIBA,"-22,671","-27,116","-14,754","-42,759","-36,318","-58,183",,,,,,
32200,NEW MEXICO               ,ROOSEVELT,"-140,824","-48,932","-120,579","-154,439","-108,740","-2,039",,,,,,
32210,NEW MEXICO               ,SANDOVAL,"-63,390","161,402","108,154","144,091","-82,647","-1,935",,,,,,
32220,NEW MEXICO               ,SAN JUAN,"-70,541","15,789","132,605","86,395","66,715","-21,553",,,,,,
32230,NEW MEXICO               ,SAN MIGUEL,"2,740","-5,999","-31,300","-49,571","10,490","-5,777",,,,,,
32240,NEW MEXICO               ,SANTA FE,"-110,660","-79,234","-157,110","-169,017","-73,890","-21,977",,,,,,
32250,NEW MEXICO               ,SIERRA,"-132,248","-160,378","-130,541","-190,443","-87,609","-56,622",,,,,,
32260,NEW MEXICO               ,SOCORRO,"-29,251","-33,921","-9,026","-33,128","-27,649","-7,659",,,,,,
32270,NEW MEXICO               ,TAOS,"-82,941","-17,874","-3,916","-90,269","-27,134","-50,942",,,,,,
32280,NEW MEXICO               ,TORRANCE,"5,765",351,"44,184","18,218","-6,405","-31,933",,,,,,
32290,NEW MEXICO               ,UNION,"-49,494","-43,764","-62,297","-65,816","-11,246","-10,536",,,,,,
32300,NEW MEXICO               ,VALENCIA,"11,535","20,861","108,688","88,025","6,362","-1,111",,,,,,
33000,NEW YORK                 ,ALBANY,"641,320","583,765","626,609","640,118","269,823","-632,532",,,,,,
33010,NEW YORK                 ,ALLEGANY,"31,430","76,709","21,544","70,392","-18,448","-28,423",,,,,,
33020,NEW YORK                 ,BRONX,"-13,392,546","-6,918,098","-3,183,508","-1,985,760","-1,618,213","-1,469",,,,,,
33030,NEW YORK                 ,BROOME,"-131,809","-542,834","-551,413","-1,075,306","-644,357","-16,253",,,,,,
33040,NEW YORK                 ,CATTARAUGUS,"-332,579","-135,614","-63,197","72,017","-65,083","-28,586",,,,,,
33050,NEW YORK                 ,CAYUGA,"-361,822","-559,170","-418,412","-481,883","-178,802",-258,,,,,,
33060,NEW YORK                 ,CHAUTAUQUA,"-86,450","79,142","199,365","245,625","187,744","-31,355",,,,,,
33070,NEW YORK                 ,CHEMUNG,"8,218","-109,470","-219,345","-151,965","159,259","-11,336",,,,,,
33080,NEW YORK                 ,CHENANGO,"-108,721","-215,923","-161,879","-318,307","-180,489",367,,,,,,
33090,NEW YORK                 ,CLINTON,"-200,007","-247,010","-165,723","-120,307","-145,083","-78,638",,,,,,
33200,NEW YORK                 ,COLUMBIA,"-244,015","-311,890","-294,875","-313,435","-329,157","-135,268",,,,,,
33210,NEW YORK                 ,CORTLAND,"-48,387","-49,977","-162,207","-162,134","-161,047","-36,140",,,,,,
33220,NEW YORK                 ,DELAWARE,"-198,031","-163,266","-220,530","-211,396","-156,654","-100,316",,,,,,
33230,NEW YORK                 ,DUTCHESS,"-95,153","-495,565","-464,253","-532,628","-465,429","-62,236",,,,,,
33240,NEW YORK                 ,ERIE,"3,709,926","5,117,430","5,167,948","5,326,759","2,698,911","-3,356",,,,,,
33260,NEW YORK                 ,ESSEX,"-147,927","-152,942","-147,276","-110,030","-97,029","-37,425",,,,,,
33270,NEW YORK                 ,FRANKLIN,"-182,191","-182,557","-158,383","-131,779","-108,846","-2,841",,,,,,
33280,NEW YORK                 ,FULTON,"-197,119","-206,477","-216,876","-281,838","-115,523",52,,,,,,
33290,NEW YORK                 ,GENESEE,"113,731","287,036","280,398","441,871","376,229",-560,,,,,,
33300,NEW YORK                 ,GREENE,"22,033","-27,502","-127,754","-124,304","-114,118","-3,712",,,,,,
33310,NEW YORK                 ,HAMILTON,-487,"5,997","-18,437","-8,239","-2,569","-2,669",,,,,,
33320,NEW YORK                 ,HERKIMER,"163,074","71,261","41,355","13,279","20,379",-427,,,,,,
33330,NEW YORK                 ,JEFFERSON,"-648,331","-710,654","-840,598","-264,150","-221,197",-98,,,,,,
33331,NEW YORK                 ,KINGS,"-65,098,680","-56,868,044","-50,841,202","-50,112,579","-40,130,082",-103,,,,,,
33340,NEW YORK                 ,LEWIS,"-26,374","-28,116","-59,982","-46,278","-50,249","-338,374",,,,,,
33350,NEW YORK                 ,LIVINGSTON,"105,947","176,719","257,412","297,455","93,600","60,401",,,,,,
33360,NEW YORK                 ,MADISON,"-13,363","-24,224","-125,220","-177,094","-147,591","-585,311",,,,,,
33370,NEW YORK                 ,MONROE,"3,408,208","4,764,282","4,903,355","4,691,933","2,867,349","-670,361",,,,,,
33380,NEW YORK                 ,MONTGOMERY,"-67,042","-56,255","-58,465","-182,692","-36,523","-130,975",,,,,,
33400,NEW YORK                 ,NASSAU,"2,746,465","3,241,434","1,461,061","773,198","-2,203,704","-230,204",,,,,,
33420,NEW YORK                 ,NEW YORK,"-29,214,534","-21,591,746","-17,964,601","-16,663,914","-12,854,553","131,777",,,,,,
33500,NEW YORK                 ,NIAGARA,"-447,078","91,971","288,746","858,827","578,894","-260,053",,,,,,
33510,NEW YORK                 ,ONEIDA,"647,780","360,838","265,375","28,216","-88,725","-215,876",,,,,,
33520,NEW YORK                 ,ONONDAGA,"1,452,913","181,349","-207,102","-1,024,941","-705,393","-24,505",,,,,,
33530,NEW YORK                 ,ONTARIO,"25,986","129,374","200,590","189,699","182,614","-631,079",,,,,,
33540,NEW YORK                 ,ORANGE,"-1,814,111","-2,169,885","-2,820,669","-2,796,295","-2,567,610","-344,911",,,,,,
33550,NEW YORK                 ,ORLEANS,"-51,603","-20,969","-23,160","58,279","128,351",0,,,,,,
33560,NEW YORK                 ,OSWEGO,"-370,894","-514,631","-149,034","-263,534","-243,044","-254,146",,,,,,
33570,NEW YORK                 ,OTSEGO,"-93,337","-41,124","-107,109","-96,669","-76,676","3,004",,,,,,
33580,NEW YORK                 ,PUTNAM,"-308,721","-258,161","-334,864","-351,763","-234,683","-126,790",,,,,,
33590,NEW YORK                 ,QUEENS,"-24,463,141","-14,139,390","-12,104,053","-12,626,092","-11,866,398","-127,345",,,,,,
33600,NEW YORK                 ,RENSSELAER,"-34,746","-113,542","-93,126","-123,878","-46,787","-88,686",,,,,,
33610,NEW YORK                 ,RICHMOND,"-5,633,895","-4,089,204","-3,549,597","-4,531,661","-4,061,655","-63,256",,,,,,
33620,NEW YORK                 ,ROCKLAND,"-3,914,252","-3,914,524","-5,239,039","-5,986,175","-4,280,635","-1,146",,,,,,
33630,NEW YORK                 ,ST. LAWRENCE,"-397,208","-441,727","-351,952","-411,190","-285,760","7,636",,,,,,
33640,NEW YORK                 ,SARATOGA,"684,689","597,444","416,911","481,555","226,133","11,616",,,,,,
33650,NEW YORK                 ,SCHENECTADY,"1,503,162","1,259,584","738,136","477,372","390,786",-164,,,,,,
33660,NEW YORK                 ,SCHOHARIE,"49,741","32,620","-6,986","-24,179","-16,187","-1,185",,,,,,
33670,NEW YORK                 ,SCHUYLER,"-47,307","-56,530","-43,790","-89,356","-29,286","-846,929",,,,,,
33680,NEW YORK                 ,SENECA,"-9,943","17,734","19,056",398,"43,304","-4,259",,,,,,
33690,NEW YORK                 ,STEUBEN,"-150,967","-68,168","-55,788","15,274","213,257","-76,467",,,,,,
33700,NEW YORK                 ,SUFFOLK,"-2,664,296","-2,222,086","-3,247,821","-3,766,546","-3,871,231","-35,572",,,,,,
33710,NEW YORK                 ,SULLIVAN,"-1,001,366","-898,732","-1,110,417","-753,735","-692,044","-20,372",,,,,,
33720,NEW YORK                 ,TIOGA,"118,558","-20,860","-109,327","-175,819","-127,524","-91,533",,,,,,
33730,NEW YORK                 ,TOMPKINS,"-94,493","-150,532","-268,335","-140,096","-150,202","-8,252",,,,,,
33740,NEW YORK                 ,ULSTER,"-476,637","-1,355,217","-1,640,947","-892,176","-711,334","-249,815",,,,,,
33750,NEW YORK                 ,WARREN,"126,009","41,832","-10,518","50,503","173,844","-28,104",,,,,,
33760,NEW YORK                 ,WASHINGTON,"143,022","-21,115","-32,552","-18,108","92,846","-26,670",,,,,,
33770,NEW YORK                 ,WAYNE,"200,554","249,700","213,555","229,575","150,147","-5,487",,,,,,
33800,NEW YORK                 ,WESTCHESTER,"-6,532,861","-6,817,992","-7,562,341","-8,119,523","-6,529,046","-1,485",,,,,,
33900,NEW YORK                 ,WYOMING,"18,754","73,787","115,838","71,189","59,805","-4,103",,,,,,
33910,NEW YORK                 ,YATES,"-15,541","-6,410","-12,450","4,280","-2,018",-74,,,,,,
34000,NORTH CAROLINA           ,ALAMANCE,"-743,621","-631,059","-747,528","-651,008","-594,557","-30,081",,,,,,
34010,NORTH CAROLINA           ,ALEXANDER,"-335,260","-299,598","-373,831","-273,709","-187,778","-28,372",,,,,,
34020,NORTH CAROLINA           ,ALLEGHANY,"-95,496","-112,428","-106,439","-81,517","-90,728","-10,835",,,,,,
34030,NORTH CAROLINA           ,ANSON,"-544,649","-541,333","-526,565","-393,592","-233,360","-31,090",,,,,,
34040,NORTH CAROLINA           ,ASHE,"-255,308","-272,312","-152,916","-174,390","-119,074","-167,158",,,,,,
34050,NORTH CAROLINA           ,AVERY,"-219,588","-234,490","-170,519","-175,049","-98,674","-6,716",,,,,,
34060,NORTH CAROLINA           ,BEAUFORT,"-1,220,642","-1,204,103","-847,692","-966,362","-910,043","-55,183",,,,,,
34070,NORTH CAROLINA           ,BERTIE,"-805,558","-676,525","-748,474","-710,376","-515,177","-23,734",,,,,,
34080,NORTH CAROLINA           ,BLADEN,"-631,619","-660,482","-635,603","-598,876","-248,613","-19,563",,,,,,
34090,NORTH CAROLINA           ,BRUNSWICK,"-2,100,169","-2,193,824","-2,469,176","-2,893,562","-723,390","-12,902",,,,,,
34100,NORTH CAROLINA           ,BUNCOMBE,"-3,023,807","-2,747,484","-2,585,546","-2,846,554","-2,090,358","-112,148",,,,,,
34110,NORTH CAROLINA           ,BURKE,"-651,946","-639,817","-707,040","-903,060","-1,268,056",3,,,,,,
34120,NORTH CAROLINA           ,CABARRUS,"-295,033","-505,350","-907,812","-1,018,007","-826,717","-210,015",,,,,,
34130,NORTH CAROLINA           ,CALDWELL,"-839,043","-712,209","-618,380","-735,638","-630,103","-18,925",,,,,,
34140,NORTH CAROLINA           ,CAMDEN,"-31,551","-32,162","-38,259","-91,562","-42,586","-72,236",,,,,,
34150,NORTH CAROLINA           ,CARTERET,"-509,315","-580,465","-446,687","-558,194","-349,837","-20,042",,,,,,
34160,NORTH CAROLINA           ,CASWELL,"-198,391","-137,243","-196,186","-140,632","-144,985","-32,851",,,,,,
34170,NORTH CAROLINA           ,CATAWBA,"-1,161,239","-1,445,312","-1,581,560","-1,604,084","-1,049,360","-18,689",,,,,,
