"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
32060,NEW MEXICO               ,DONA ANA,"-172,555","-270,109","-267,425","-329,911","-189,320",0,,,,,,
32070,NEW MEXICO               ,EDDY,"-54,857","-61,874","-97,702","-73,580","-65,420","-1,846",,,,,,
32080,NEW MEXICO               ,GRANT,"-23,401","-73,958","-49,636","-78,585","-38,577",0,,,,,,
32090,NEW MEXICO               ,GUADALUPE,"-32,644","6,397","1,278","-2,990","-2,424","5,539",,,,,,
32100,NEW MEXICO               ,HARDING,0,-690,0,"-2,799",564,-372,,,,,,
32110,NEW MEXICO               ,HIDALGO,"-10,389",376,"-6,819","-10,437","-6,589","-1,959",,,,,,
32120,NEW MEXICO               ,LEA,"-48,635","-54,566","-61,497","-97,250","-53,245",-227,,,,,,
32130,NEW MEXICO               ,LINCOLN,"-42,787","-14,544","-6,628","-3,548","-19,953",-401,,,,,,
32131,NEW MEXICO               ,LOS ALAMOS,"-4,489","2,418",-49,"3,450","5,879",0,,,,,,
32140,NEW MEXICO               ,LUNA,"-29,786","-54,797","-40,146","-56,742","-25,867",-960,,,,,,
32150,NEW MEXICO               ,MCKINLEY,"56,425","70,714","124,333","54,532","88,530",0,,,,,,
32160,NEW MEXICO               ,MORA,-370,"1,195","1,359","-2,418","-8,849","-8,701",,,,,,
32170,NEW MEXICO               ,OTERO,"-28,907","-38,825","-87,309","-64,532","-26,607","-469,299",,,,,,
32180,NEW MEXICO               ,QUAY,"-52,043","-16,876","-32,854","-3,740","-11,803","-3,055",,,,,,
32190,NEW MEXICO               ,RIO ARRIBA,"17,066","-19,213","9,013","-32,430",77,"-14,445",,,,,,
32200,NEW MEXICO               ,ROOSEVELT,"-16,041","8,351","-11,883","-31,606","-21,235",-797,,,,,,
32210,NEW MEXICO               ,SANDOVAL,"57,871","42,061","76,912","-1,593","43,816",-422,,,,,,
32220,NEW MEXICO               ,SAN JUAN,"-14,378","-26,558","-17,585",-600,"34,590",-848,,,,,,
32230,NEW MEXICO               ,SAN MIGUEL,425,"7,676","21,239","6,939","4,398","-1,143",,,,,,
32240,NEW MEXICO               ,SANTA FE,"11,781","-3,891","10,881","58,577","-19,159","-12,093",,,,,,
32250,NEW MEXICO               ,SIERRA,"-21,203","-16,198","-14,091","-34,467","-22,343","-20,523",,,,,,
32260,NEW MEXICO               ,SOCORRO,"-6,375","-12,443","10,994","13,779",-755,"-1,266",,,,,,
32270,NEW MEXICO               ,TAOS,"-2,730","-6,558","-1,366","-27,347",-425,"-16,846",,,,,,
32280,NEW MEXICO               ,TORRANCE,"-6,699","20,875","7,334","40,122","4,437","-3,651",,,,,,
32290,NEW MEXICO               ,UNION,"-12,384",175,"-28,201","-7,777","-1,108","-1,143",,,,,,
32300,NEW MEXICO               ,VALENCIA,"46,482","31,052","53,198","85,774","23,752",0,,,,,,
33000,NEW YORK                 ,ALBANY,"398,724","359,185","443,330","399,684","352,119","-157,410",,,,,,
33010,NEW YORK                 ,ALLEGANY,"-14,269","-46,537","30,841","-2,791","-12,154","-3,467",,,,,,
33020,NEW YORK                 ,BRONX,"-1,526,821","934,719","1,421,162","1,481,144","1,497,377",0,,,,,,
33030,NEW YORK                 ,BROOME,"-14,266","-115,003","-133,772","-231,197","-213,574","-3,878",,,,,,
33040,NEW YORK                 ,CATTARAUGUS,"-6,728","-40,767","30,098","77,031","24,219","-8,350",,,,,,
33050,NEW YORK                 ,CAYUGA,-130,"-51,516","-60,279","-47,716","-18,028",0,,,,,,
33060,NEW YORK                 ,CHAUTAUQUA,"-7,811","73,204","47,564","154,087","95,948","-9,027",,,,,,
33070,NEW YORK                 ,CHEMUNG,"41,430","9,611","22,568","6,114","64,052","-8,701",,,,,,
33080,NEW YORK                 ,CHENANGO,"-5,597","-46,637","-41,312","-72,559","-57,869","-1,231",,,,,,
33090,NEW YORK                 ,CLINTON,"-59,168","-73,024","-58,500","-64,008","-45,335","-17,770",,,,,,
33200,NEW YORK                 ,COLUMBIA,"-19,865","-17,748","18,297","-81,316","-17,960","-59,463",,,,,,
33210,NEW YORK                 ,CORTLAND,"-5,655","-26,225","-22,822","-32,488","-64,925","-10,296",,,,,,
33220,NEW YORK                 ,DELAWARE,"-9,416","-14,212","-26,556","-40,885","-14,963","-30,081",,,,,,
33230,NEW YORK                 ,DUTCHESS,"5,161","-15,549","-24,858","-102,692","4,861","-18,035",,,,,,
33240,NEW YORK                 ,ERIE,"883,649","1,304,029","1,397,862","1,681,665","953,284",-201,,,,,,
33260,NEW YORK                 ,ESSEX,"-16,116","-53,725","-29,760","-27,461","-31,203","-10,798",,,,,,
33270,NEW YORK                 ,FRANKLIN,"-55,428","-55,924","-49,477","-60,182","-28,635",-236,,,,,,
33280,NEW YORK                 ,FULTON,"-42,257","-52,459","-18,617","-82,758","-34,211",0,,,,,,
33290,NEW YORK                 ,GENESEE,"52,802","104,570","83,976","145,893","56,128","-1,286",,,,,,
33300,NEW YORK                 ,GREENE,"2,130","-2,524","-14,570","-3,654","-57,411",-640,,,,,,
33310,NEW YORK                 ,HAMILTON,"-12,233","2,349",-343,"1,535","-3,213","-2,165",,,,,,
33320,NEW YORK                 ,HERKIMER,"23,114","16,699","20,099","-7,720","9,287",0,,,,,,
33330,NEW YORK                 ,JEFFERSON,"-90,866","-119,297","-158,738","-66,253","-55,029",0,,,,,,
33331,NEW YORK                 ,KINGS,"-4,285,724","-2,715,883","-2,169,045","-1,943,633","-1,815,736",169,,,,,,
33340,NEW YORK                 ,LEWIS,"-3,563","-5,889","-30,606","-10,184","-13,235","-91,475",,,,,,
33350,NEW YORK                 ,LIVINGSTON,"53,964","79,126","90,690","93,882","57,079","-80,277",,,,,,
33360,NEW YORK                 ,MADISON,"-9,817","12,009","-22,142","-3,990","-2,193","-122,773",,,,,,
33370,NEW YORK                 ,MONROE,"1,618,017","2,396,248","2,715,305","2,579,629","1,597,460","-211,014",,,,,,
33380,NEW YORK                 ,MONTGOMERY,"-6,702","-33,918","-19,164","-20,836","-12,566","-32,625",,,,,,
33400,NEW YORK                 ,NASSAU,"449,041","460,968","157,987","162,391","141,124","-62,899",,,,,,
33420,NEW YORK                 ,NEW YORK,"-2,915,346","-1,556,899","-933,577","-1,392,911","-451,215","45,090",,,,,,
33500,NEW YORK                 ,NIAGARA,"-45,264","95,658","428,661","421,896","308,445","-76,578",,,,,,
33510,NEW YORK                 ,ONEIDA,"188,819","99,127","105,468","-17,010","-24,877","-7,436",,,,,,
33520,NEW YORK                 ,ONONDAGA,"640,071","362,637","357,231","208,746","42,117","-2,651",,,,,,
33530,NEW YORK                 ,ONTARIO,"72,007","96,363","85,577","101,233","53,708","-87,560",,,,,,
33540,NEW YORK                 ,ORANGE,"-130,657","-374,050","-522,779","-376,509","-345,009","-47,674",,,,,,
33550,NEW YORK                 ,ORLEANS,"4,748","20,446","10,224","51,654","60,877",-16,,,,,,
33560,NEW YORK                 ,OSWEGO,"32,108","-21,070","-29,650","-80,969","-45,070","-55,272",,,,,,
33570,NEW YORK                 ,OTSEGO,"-8,153","-18,173","-4,050","-17,460","-28,481","-5,883",,,,,,
33580,NEW YORK                 ,PUTNAM,"-2,177","-45,701","12,344","-38,833","-23,850","-25,164",,,,,,
33590,NEW YORK                 ,QUEENS,"-2,798,881","-1,161,412","-869,161","-913,001","-994,438","-45,695",,,,,,
33600,NEW YORK                 ,RENSSELAER,"61,773","70,972","25,251","81,645","111,255","-30,948",,,,,,
33610,NEW YORK                 ,RICHMOND,"-851,726","-371,185","-564,233","-682,536","-607,181","-11,311",,,,,,
33620,NEW YORK                 ,ROCKLAND,"-508,510","-436,023","-582,023","-634,049","-578,635","-3,491",,,,,,
33630,NEW YORK                 ,ST. LAWRENCE,"-113,591","-113,834","-103,720","-127,956","-78,463","-17,414",,,,,,
33640,NEW YORK                 ,SARATOGA,"95,201","157,094","133,611","140,890","59,303","-4,044",,,,,,
33650,NEW YORK                 ,SCHENECTADY,"295,888","288,923","320,135","320,039","193,940",0,,,,,,
33660,NEW YORK                 ,SCHOHARIE,"12,767","1,828","19,127","13,623","-8,219",0,,,,,,
33670,NEW YORK                 ,SCHUYLER,96,"-10,894","-11,135","1,898","5,202","-361,487",,,,,,
33680,NEW YORK                 ,SENECA,"26,202","-6,001","13,565","14,175","28,447",-770,,,,,,
33690,NEW YORK                 ,STEUBEN,"30,121","35,089","93,713","130,508","81,780","-22,356",,,,,,
33700,NEW YORK                 ,SUFFOLK,"-279,064","-386,325","-293,474","-355,344","-715,334","-12,879",,,,,,
33710,NEW YORK                 ,SULLIVAN,"-113,729","-181,853","-203,053","-182,161","-158,434","-1,587",,,,,,
33720,NEW YORK                 ,TIOGA,"23,463","27,784","-22,328","-19,586","-30,274","-19,049",,,,,,
33730,NEW YORK                 ,TOMPKINS,"1,505","-23,627","-45,337","-17,933","-2,672","-1,263",,,,,,
33740,NEW YORK                 ,ULSTER,"-136,486","-315,839","-386,727","-128,510","-128,342","-71,689",,,,,,
33750,NEW YORK                 ,WARREN,"70,145","35,988","11,131","46,410","74,114","-4,760",,,,,,
33760,NEW YORK                 ,WASHINGTON,"32,189","5,638","3,843","26,154","31,216","-7,003",,,,,,
33770,NEW YORK                 ,WAYNE,"60,367","154,423","125,816","170,208","85,278",0,,,,,,
33800,NEW YORK                 ,WESTCHESTER,"-267,687","18,323","14,081","79,351","-71,568",142,,,,,,
33900,NEW YORK                 ,WYOMING,"2,360","31,111","37,305","34,265","25,582",-342,,,,,,
33910,NEW YORK                 ,YATES,"-4,960","3,564","11,492","7,938","10,251",0,,,,,,
34000,NORTH CAROLINA           ,ALAMANCE,"-173,823","-163,550","-118,397","-170,438","-148,446","-7,003",,,,,,
34010,NORTH CAROLINA           ,ALEXANDER,"-97,569","-128,127","-91,225","-84,778","-61,195","-3,399",,,,,,
34020,NORTH CAROLINA           ,ALLEGHANY,"-42,152","-12,861","-9,043","-11,849","-28,902","-1,569",,,,,,
34030,NORTH CAROLINA           ,ANSON,"-135,533","-165,724","-173,481","-95,145","-64,447","-6,647",,,,,,
34040,NORTH CAROLINA           ,ASHE,"-62,230","-67,224","-33,917","-38,351","-35,741","-66,235",,,,,,
34050,NORTH CAROLINA           ,AVERY,"-48,743","-47,490","-19,375","-20,866","-34,476",0,,,,,,
34060,NORTH CAROLINA           ,BEAUFORT,"-286,337","-336,157","-252,562","-281,732","-229,908","-7,134",,,,,,
34070,NORTH CAROLINA           ,BERTIE,"-233,602","-204,347","-217,848","-331,931","-190,010","-2,747",,,,,,
34080,NORTH CAROLINA           ,BLADEN,"-235,775","-195,803","-207,036","-202,512","-76,822","-13,492",,,,,,
34090,NORTH CAROLINA           ,BRUNSWICK,"-485,893","-384,564","-448,826","-490,097","-138,440","-3,276",,,,,,
34100,NORTH CAROLINA           ,BUNCOMBE,"-728,076","-676,473","-646,871","-713,896","-503,104","-29,317",,,,,,
34110,NORTH CAROLINA           ,BURKE,"-216,135","-232,928","-284,885","-261,511","-372,978",0,,,,,,
34120,NORTH CAROLINA           ,CABARRUS,"-79,553","-75,810","-172,011","-193,711","-182,794","-42,076",,,,,,
34130,NORTH CAROLINA           ,CALDWELL,"-242,596","-212,014","-171,122","-150,460","-160,765","-5,322",,,,,,
34140,NORTH CAROLINA           ,CAMDEN,"-8,557","-1,769","-28,570","-28,205","-3,835","-23,529",,,,,,
34150,NORTH CAROLINA           ,CARTERET,"-118,947","-106,337","-79,649","-74,307","-76,341","-4,584",,,,,,
34160,NORTH CAROLINA           ,CASWELL,"-73,304","-61,374","-46,637","-26,947","-47,723","-6,916",,,,,,
34170,NORTH CAROLINA           ,CATAWBA,"-346,909","-415,963","-377,304","-427,360","-253,760","-7,543",,,,,,
34180,NORTH CAROLINA           ,CHATHAM,"-30,076","-35,034","-29,114","-42,818","-25,419","-10,719",,,,,,
34190,NORTH CAROLINA           ,CHEROKEE,"-114,263","-94,033","-89,891","-75,409","-69,605",-122,,,,,,
34200,NORTH CAROLINA           ,CHOWAN,"-70,912","-42,235","-61,644","-73,471","-25,453","-47,974",,,,,,
34210,NORTH CAROLINA           ,CLAY,"-43,818","-29,238","-14,471","-34,481","-22,133",0,,,,,,
34220,NORTH CAROLINA           ,CLEVELAND,"-540,716","-654,739","-611,976","-497,318","-417,020",0,,,,,,
34230,NORTH CAROLINA           ,COLUMBUS,"-713,191","-724,975","-842,909","-686,639","-330,564",0,,,,,,
34240,NORTH CAROLINA           ,CRAVEN,"-138,620","-192,493","-211,822","-179,403","-91,982",0,,,,,,
34250,NORTH CAROLINA           ,CUMBERLAND,"-828,247","-1,163,194","-1,116,459","-1,193,882","-715,671",0,,,,,,
34251,NORTH CAROLINA           ,CURRITUCK,"-6,544","1,118","-6,739","-3,983","-29,167","-146,743",,,,,,
34270,NORTH CAROLINA           ,DARE,"-36,106","-48,468","-37,351","-27,640","-26,511","-7,980",,,,,,
34280,NORTH CAROLINA           ,DAVIDSON,"-148,811","-177,606","-186,871","-164,013","-109,089","-1,172,345",,,,,,
34290,NORTH CAROLINA           ,DAVIE,"-5,430","-24,436","-20,212","-9,127","-12,600","-72,617",,,,,,
34300,NORTH CAROLINA           ,DUPLIN,"-200,018","-191,464","-191,401","-228,591","-118,214","-23,545",,,,,,
34310,NORTH CAROLINA           ,DURHAM,"-361,255","-158,028","-247,464","-173,272","-222,108","-17,425",,,,,,
34320,NORTH CAROLINA           ,EDGECOMBE,"-493,783","-473,007","-368,706","-461,954","-364,937","-39,524",,,,,,
34330,NORTH CAROLINA           ,FORSYTH,"-186,992","-65,678","130,541","187,382","-60,428","-11,086",,,,,,
34340,NORTH CAROLINA           ,FRANKLIN,"-143,389","-138,313","-147,997","-182,663","-90,447","-12,818",,,,,,
34350,NORTH CAROLINA           ,GASTON,"-986,687","-1,231,952","-1,163,220","-999,024","-539,279","-13,309",,,,,,
34360,NORTH CAROLINA           ,GATES,"-26,723","-23,831","-32,305","-35,365","-13,544","-29,741",,,,,,
34370,NORTH CAROLINA           ,GRAHAM,"-33,441","-28,878","-34,982","-31,822","-11,341","-14,449",,,,,,
34380,NORTH CAROLINA           ,GRANVILLE,"-111,855","-141,754","-116,813","-95,399","-86,490","-8,569",,,,,,
34390,NORTH CAROLINA           ,GREENE,"-120,230","-68,718","-138,638","-134,275","-39,423","-33,875",,,,,,
34400,NORTH CAROLINA           ,GUILFORD,"-456,752","-314,958","-95,221","-62,936","-39,937","-232,430",,,,,,
34410,NORTH CAROLINA           ,HALIFAX,"-420,609","-340,575","-336,892","-533,534","-435,980","-5,366",,,,,,
34420,NORTH CAROLINA           ,HARNETT,"-539,240","-493,341","-625,631","-647,624","-367,163","-3,382",,,,,,
34430,NORTH CAROLINA           ,HAYWOOD,"-152,336","-93,252","-128,919","-153,129","-121,829","-29,033",,,,,,
34440,NORTH CAROLINA           ,HENDERSON,"-166,139","-171,075","-241,336","-221,546","-158,894","-15,673",,,,,,
34450,NORTH CAROLINA           ,HERTFORD,"-257,257","-280,448","-324,093","-291,174","-206,617","-11,175",,,,,,
34460,NORTH CAROLINA           ,HOKE,"-54,566","-114,984","-110,904","-91,412","-53,774","-1,269",,,,,,
34470,NORTH CAROLINA           ,HYDE,"-11,409","-7,827","-42,448","-35,347","-29,754","-6,814",,,,,,
34480,NORTH CAROLINA           ,IREDELL,"-273,495","-298,145","-270,305","-196,639","-123,324","-12,300",,,,,,
34490,NORTH CAROLINA           ,JACKSON,"-61,315","-68,996","-67,047","-86,223","-52,617","-1,088,839",,,,,,
34500,NORTH CAROLINA           ,JOHNSTON,"-851,012","-757,614","-870,326","-842,737","-433,609",0,,,,,,
34510,NORTH CAROLINA           ,JONES,"-28,050","-17,718","-28,428","-16,597","-20,598","-4,227",,,,,,
34520,NORTH CAROLINA           ,LEE,"-116,217","-185,660","-239,426","-138,040","-148,776",0,,,,,,
34530,NORTH CAROLINA           ,LENOIR,"-607,636","-457,172","-450,411","-484,131","-425,848","-17,725",,,,,,
34540,NORTH CAROLINA           ,LINCOLN,"-270,207","-286,072","-223,541","-170,850","-139,843","-2,068",,,,,,
34550,NORTH CAROLINA           ,MCDOWELL,"-185,420","-152,843","-161,544","-163,468","-139,416","-18,167",,,,,,
34560,NORTH CAROLINA           ,MACON,"-47,199","-74,138","-96,470","-69,009","-40,929","-235,667",,,,,,
34570,NORTH CAROLINA           ,MADISON,"-55,526","-68,959","-55,018","-54,762","-46,654","-15,140",,,,,,
34580,NORTH CAROLINA           ,MARTIN,"-305,782","-195,390","-241,429","-314,542","-184,087","-149,349",,,,,,
34590,NORTH CAROLINA           ,MECKLENBURG,"-363,533","-463,818","-306,876","-35,207","-133,572",0,,,,,,
34600,NORTH CAROLINA           ,MITCHELL,"-86,269","-71,062","-93,479","-71,797","-45,834","-819,283",,,,,,
34610,NORTH CAROLINA           ,MONTGOMERY,"-60,641","-70,089","-52,076","-62,969","-62,165",0,,,,,,
34620,NORTH CAROLINA           ,MOORE,"-175,443","-134,452","-270,363","-207,164","-168,855","-26,963",,,,,,
34630,NORTH CAROLINA           ,NASH,"-929,675","-1,016,411","-895,643","-1,049,370","-750,536","-53,717",,,,,,
34640,NORTH CAROLINA           ,NEW HANOVER,"-915,601","-882,222","-1,093,751","-1,031,776","-38,191","-196,280",,,,,,
34650,NORTH CAROLINA           ,NORTHAMPTON,"-156,106","-103,843","-135,783","-117,674","-73,131",0,,,,,,
34660,NORTH CAROLINA           ,ONSLOW,"-337,741","-258,598","-344,184","-316,828","-66,601","-40,122",,,,,,
34670,NORTH CAROLINA           ,ORANGE,"-32,295","-22,259","-56,671","10,913","-3,726",-900,,,,,,
34680,NORTH CAROLINA           ,PAMLICO,"-11,140","-9,536","-9,503","-7,196","-18,310","-14,241",,,,,,
34690,NORTH CAROLINA           ,PASQUOTANK,"-35,424","-95,657","-53,332","-117,278","-54,423","-49,732",,,,,,
34700,NORTH CAROLINA           ,PENDER,"-268,782","-261,772","-278,005","-378,326","-24,433","-9,137",,,,,,
34710,NORTH CAROLINA           ,PERQUIMANS,"-37,047","-59,532","-11,001","-45,199","-23,761","-2,672",,,,,,
34720,NORTH CAROLINA           ,PERSON,"-76,254","-40,203","-75,535","-50,295","-46,629",0,,,,,,
34730,NORTH CAROLINA           ,PITT,"-619,590","-610,509","-884,488","-1,132,120","-665,431","-269,409",,,,,,
34740,NORTH CAROLINA           ,POLK,"-18,076","-23,163","-33,145","-35,566","-21,606","-58,240",,,,,,
34750,NORTH CAROLINA           ,RANDOLPH,"-261,820","-267,766","-179,188","-162,212","-106,602","-264,705",,,,,,
34760,NORTH CAROLINA           ,RICHMOND,"-394,160","-308,166","-338,177","-317,087","-220,725","-84,168",,,,,,
34770,NORTH CAROLINA           ,ROBESON,"-388,476","-360,601","-325,440","-317,602","-270,108","-18,543",,,,,,
34780,NORTH CAROLINA           ,ROCKINGHAM,"-193,433","-199,819","-154,632","-97,857","-81,220","-36,418",,,,,,
34790,NORTH CAROLINA           ,ROWAN,"-83,216","-135,594","-146,924","-189,905","-181,562","-54,595",,,,,,
34800,NORTH CAROLINA           ,RUTHERFORD,"-336,452","-365,186","-300,954","-268,745","-208,436","-1,972",,,,,,
34810,NORTH CAROLINA           ,SAMPSON,"-372,858","-457,817","-431,388","-288,583","-183,198",542,,,,,,
34820,NORTH CAROLINA           ,SCOTLAND,"-195,793","-139,202","-149,283","-118,706","-99,929",-227,,,,,,
34830,NORTH CAROLINA           ,STANLY,"-158,748","-136,677","-275,910","-99,234","-143,228","-20,907",,,,,,
34840,NORTH CAROLINA           ,STOKES,"-38,558","-28,432","-4,589","32,106","-36,356","-15,088",,,,,,
34850,NORTH CAROLINA           ,SURRY,"-180,670","-212,619","-228,991","-134,241","-73,832","-365,997",,,,,,
34860,NORTH CAROLINA           ,SWAIN,"-50,714","-61,179","-57,263","-63,992","-65,574","-3,302",,,,,,
34870,NORTH CAROLINA           ,TRANSYLVANIA,"-47,743","-58,062","-67,549","-52,576","-34,214","-15,904",,,,,,
34880,NORTH CAROLINA           ,TYRRELL,"-10,365","-24,458","-14,666","-12,445","-15,082","-12,977",,,,,,
34890,NORTH CAROLINA           ,UNION,"-333,223","-367,929","-413,395","-269,053","-172,479","-35,366",,,,,,
34900,NORTH CAROLINA           ,VANCE,"-119,474","-257,806","-247,559","-199,906","-178,192","-17,778",,,,,,
34910,NORTH CAROLINA           ,WAKE,"-764,283","-801,181","-1,020,038","-821,944","-526,805","-16,205",,,,,,
34920,NORTH CAROLINA           ,WARREN,"-27,870","-55,035","-70,316","-75,197","-46,005","-50,913",,,,,,
34930,NORTH CAROLINA           ,WASHINGTON,"-73,242","-79,853","-40,319","-65,959","-57,211","-193,473",,,,,,
34940,NORTH CAROLINA           ,WATAUGA,"-86,763","-60,610","-42,686","-11,735","-18,257","-3,955",,,,,,
34950,NORTH CAROLINA           ,WAYNE,"-899,278","-295,484","-339,866","-312,977","-246,926","-6,005",,,,,,
34960,NORTH CAROLINA           ,WILKES,"-232,434","-198,109","-154,835","-182,525","-153,013",54,,,,,,
34970,NORTH CAROLINA           ,WILSON,"-516,997","-505,128","-537,519","-434,400","-352,055","-57,201",,,,,,
34980,NORTH CAROLINA           ,YADKIN,"-46,846","-41,315","-27,741",-955,"-34,514","-15,196",,,,,,
34981,NORTH CAROLINA           ,YANCEY,"-71,711","-87,730","-53,664","-73,220","-37,729","-7,057",,,,,,
35000,NORTH DAKOTA             ,ADAMS,-309,"-2,863",563,"-1,179",136,"-7,344",,,,,,
35010,NORTH DAKOTA             ,BARNES,"-7,934","-1,197","2,690","-7,224","-9,769","-5,890",,,,,,
35020,NORTH DAKOTA             ,BENSON,404,"-1,353",-875,"-7,878","-5,729","-5,225",,,,,,
35030,NORTH DAKOTA             ,BILLINGS,0,0,0,0,0,"-10,315",,,,,,
35040,NORTH DAKOTA             ,BOTTINEAU,703,"-3,692","-6,380","-3,118","-1,133","-11,015",,,,,,
35050,NORTH DAKOTA             ,BOWMAN,524,-762,-958,"-1,536",-281,"-14,217",,,,,,
35060,NORTH DAKOTA             ,BURKE,0,0,0,-586,0,"-17,608",,,,,,
35070,NORTH DAKOTA             ,BURLEIGH,"45,613","-2,871","-23,690","-57,454","-46,975","-107,779",,,,,,
