"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
05140,CALIFORNIA               ,KERN                   ,1023,211608,206.85,211608,206.85,0,0,0,977,0,0,
05150,CALIFORNIA               ,KINGS                  ,160,20796,129.98,20796,129.98,0,0,0,155,0,0,
05160,CALIFORNIA               ,LAKE                   ,100,9888,98.88,9888,98.88,0,0,0,97,0,0,
05170,CALIFORNIA               ,LASSEN                 ,18,43750,2430.56,43750,2430.56,0,0,0,18,0,0,
05200,CALIFORNIA               ,LOS ANGELES            ,11265,2085653,185.14,2085652,185.14,0,0,0,10458,0,0,
05300,CALIFORNIA               ,MADERA                 ,153,2270,14.84,2270,14.84,0,0,0,146,0,0,
05310,CALIFORNIA               ,MARIN                  ,121,87607,724.02,87607,724.02,0,0,0,110,0,0,
05320,CALIFORNIA               ,MARIPOSA               ,13,0,0,0,0,0,0,0,12,0,0,
05330,CALIFORNIA               ,MENDOCINO              ,117,35878,306.65,35878,306.65,0,0,0,116,0,0,
05340,CALIFORNIA               ,MERCED                 ,397,10774,27.14,10774,27.14,0,0,0,376,0,0,
05350,CALIFORNIA               ,MODOC                  ,6,0,0,0,0,0,0,0,5,0,0,
05360,CALIFORNIA               ,MONO                   ,10,0,0,0,0,0,0,0,10,0,0,
05370,CALIFORNIA               ,MONTEREY               ,511,30456,59.6,30456,59.6,0,0,0,489,0,0,
05380,CALIFORNIA               ,NAPA                   ,105,5716,54.44,5716,54.44,0,0,0,95,0,0,
05390,CALIFORNIA               ,NEVADA                 ,79,8816,111.59,8816,111.59,0,0,0,74,0,0,
05400,CALIFORNIA               ,ORANGE                 ,2305,544163,236.08,544163,236.08,0,0,0,2137,0,0,
05410,CALIFORNIA               ,PLACER                 ,240,37550,156.46,37550,156.46,0,0,0,221,0,0,
05420,CALIFORNIA               ,PLUMAS                 ,15,0,0,0,0,0,0,0,14,0,0,
05430,CALIFORNIA               ,RIVERSIDE              ,1788,699374,391.15,699375,391.15,0,0,0,1620,0,0,
05440,CALIFORNIA               ,SACRAMENTO             ,1513,208305,137.68,208305,137.68,0,0,0,1364,0,0,
05450,CALIFORNIA               ,SAN BENITO             ,50,8551,171.02,8552,171.04,0,0,0,45,0,0,
05460,CALIFORNIA               ,SAN BERNARDINO         ,2055,311810,151.73,311810,151.73,0,0,0,1878,0,0,
05470,CALIFORNIA               ,SAN DIEGO              ,2680,631659,235.69,631659,235.69,0,0,0,2460,0,0,
05480,CALIFORNIA               ,SAN FRANCISCO          ,752,170917,227.28,170918,227.28,0,0,0,678,0,0,
05490,CALIFORNIA               ,SAN JOAQUIN            ,897,57566,64.18,57566,64.18,0,0,0,840,0,0,
05500,CALIFORNIA               ,SAN LUIS OBISPO        ,196,5005,25.54,5005,25.54,0,0,0,186,0,0,
05510,CALIFORNIA               ,SAN MATEO              ,714,96418,135.04,96419,135.04,0,0,0,642,0,0,
05520,CALIFORNIA               ,SANTA BARBARA          ,418,23222,55.56,23221,55.55,0,0,0,388,0,0,
05530,CALIFORNIA               ,SANTA CLARA            ,1575,242562,154.01,242562,154.01,0,0,0,1441,0,0,
05540,CALIFORNIA               ,SANTA CRUZ             ,263,95741,364.03,95741,364.03,0,0,0,244,0,0,
05550,CALIFORNIA               ,SHASTA                 ,199,23421,117.69,23420,117.69,0,0,0,192,0,0,
05560,CALIFORNIA               ,SIERRA                 ,6,0,0,0,0,0,0,0,6,0,0,
05570,CALIFORNIA               ,SISKIYOU               ,47,3147,66.96,3148,66.98,0,0,0,47,0,0,
05580,CALIFORNIA               ,SOLANO                 ,522,26665,51.08,26666,51.08,0,0,0,459,0,0,
05590,CALIFORNIA               ,SONOMA                 ,392,86581,220.87,86581,220.87,0,0,0,356,0,0,
05600,CALIFORNIA               ,STANISLAUS             ,653,50955,78.03,50955,78.03,0,0,0,620,0,0,
05610,CALIFORNIA               ,SUTTER                 ,145,4905,33.83,4906,33.83,0,0,0,141,0,0,
05620,CALIFORNIA               ,TEHAMA                 ,64,0,0,0,0,0,0,0,60,0,0,
05630,CALIFORNIA               ,TRINITY                ,24,0,0,0,0,0,0,0,23,0,0,
05640,CALIFORNIA               ,TULARE                 ,673,26492,39.36,26493,39.37,0,0,0,649,0,0,
05650,CALIFORNIA               ,TUOLUMNE               ,62,3648,58.84,3648,58.84,0,0,0,60,0,0,
05660,CALIFORNIA               ,VENTURA                ,945,165478,175.11,165477,175.11,0,0,0,898,0,0,
05670,CALIFORNIA               ,YOLO                   ,139,33299,239.56,33299,239.56,0,0,0,133,0,0,
05680,CALIFORNIA               ,YUBA                   ,91,1327,14.58,1327,14.58,0,0,0,87,0,0,
